Date,IBOV
2008-09-16 00:00:00,49228.0
2008-09-17 00:00:00,45908.0
2008-09-18 00:00:00,48422.0
2008-09-19 00:00:00,53055.0
2008-09-22 00:00:00,51540.0
2008-09-23 00:00:00,49593.0
2008-09-24 00:00:00,49842.0
2008-09-25 00:00:00,51828.0
2008-09-26 00:00:00,50782.0
2008-09-29 00:00:00,46028.0
2008-09-30 00:00:00,49541.0
2008-10-01 00:00:00,49798.0
2008-10-02 00:00:00,46145.0
2008-10-03 00:00:00,44517.0
2008-10-06 00:00:00,42100.0
2008-10-07 00:00:00,40139.0
2008-10-08 00:00:00,38593.0
2008-10-09 00:00:00,37080.0
2008-10-10 00:00:00,35609.0
2008-10-13 00:00:00,40829.0
2008-10-14 00:00:00,41569.0
2008-10-15 00:00:00,36833.0
2008-10-16 00:00:00,36441.0
2008-10-17 00:00:00,36399.0
2008-10-20 00:00:00,39441.0
2008-10-21 00:00:00,39043.0
2008-10-22 00:00:00,35069.0
2008-10-23 00:00:00,33818.0
2008-10-24 00:00:00,31481.0
2008-10-27 00:00:00,29435.0
2008-10-28 00:00:00,33386.0
2008-10-29 00:00:00,34845.0
2008-10-30 00:00:00,37448.0
2008-10-31 00:00:00,37256.0
2008-11-03 00:00:00,38249.0
2008-11-04 00:00:00,40254.0
2008-11-06 00:00:00,36361.0
2008-11-07 00:00:00,36665.0
2008-11-10 00:00:00,36776.0
2008-11-11 00:00:00,37261.0
2008-11-12 00:00:00,34373.0
2008-11-13 00:00:00,35993.0
2008-11-14 00:00:00,35789.0
2008-11-17 00:00:00,35717.0
2008-11-18 00:00:00,34094.0
2008-11-19 00:00:00,33404.0
2008-11-21 00:00:00,31250.0
2008-11-25 00:00:00,34812.0
2008-11-26 00:00:00,36469.0
2008-11-27 00:00:00,36212.0
2008-11-28 00:00:00,36595.0
2008-12-01 00:00:00,34740.0
2008-12-02 00:00:00,35000.0
2008-12-03 00:00:00,35296.0
2008-12-04 00:00:00,35127.0
2008-12-05 00:00:00,35347.0
2008-12-08 00:00:00,38284.0
2008-12-09 00:00:00,37968.0
2008-12-10 00:00:00,39004.0
2008-12-11 00:00:00,38519.0
2008-12-12 00:00:00,39373.0
2008-12-15 00:00:00,38320.0
2008-12-16 00:00:00,39993.0
2008-12-17 00:00:00,39947.0
2008-12-18 00:00:00,39536.0
2008-12-19 00:00:00,39131.0
2008-12-22 00:00:00,37618.0
2008-12-23 00:00:00,36470.0
2008-12-26 00:00:00,36864.0
2008-12-29 00:00:00,37060.0
2008-12-30 00:00:00,37550.0
2009-01-02 00:00:00,40244.0
2009-01-05 00:00:00,41518.0
2009-01-06 00:00:00,42312.0
2009-01-07 00:00:00,40820.0
2009-01-08 00:00:00,41990.0
2009-01-09 00:00:00,41582.0
2009-01-12 00:00:00,39403.0
2009-01-14 00:00:00,37981.0
2009-01-15 00:00:00,39151.0
2009-01-16 00:00:00,39341.0
2009-01-19 00:00:00,38828.0
2009-01-20 00:00:00,37272.0
2009-01-21 00:00:00,38542.0
2009-01-22 00:00:00,37894.0
2009-01-23 00:00:00,38132.0
2009-01-26 00:00:00,38509.0
2009-01-27 00:00:00,38698.0
2009-01-28 00:00:00,40227.0
2009-01-29 00:00:00,39638.0
2009-01-30 00:00:00,39300.0
2009-02-02 00:00:00,38666.0
2009-02-04 00:00:00,40129.0
2009-02-05 00:00:00,41108.0
2009-02-06 00:00:00,42755.0
2009-02-10 00:00:00,41207.0
2009-02-11 00:00:00,40845.0
2009-02-12 00:00:00,40500.0
2009-02-13 00:00:00,41673.0
2009-02-16 00:00:00,41841.0
2009-02-17 00:00:00,39846.0
2009-02-18 00:00:00,39674.0
2009-02-19 00:00:00,39730.0
2009-02-20 00:00:00,38714.0
2009-02-25 00:00:00,38231.0
2009-02-26 00:00:00,38180.0
2009-02-27 00:00:00,38183.0
2009-03-02 00:00:00,36234.0
2009-03-03 00:00:00,36467.0
2009-03-04 00:00:00,38402.0
2009-03-06 00:00:00,37105.0
2009-03-09 00:00:00,36741.0
2009-03-10 00:00:00,38794.0
2009-03-11 00:00:00,38804.0
2009-03-12 00:00:00,39151.0
2009-03-13 00:00:00,39015.0
2009-03-16 00:00:00,38607.0
2009-03-17 00:00:00,39510.0
2009-03-20 00:00:00,40076.0
2009-03-23 00:00:00,42438.0
2009-03-24 00:00:00,41475.0
2009-03-25 00:00:00,41799.0
2009-03-26 00:00:00,42588.0
2009-03-27 00:00:00,41907.0
2009-03-30 00:00:00,40653.0
2009-04-01 00:00:00,41976.0
2009-04-02 00:00:00,43736.0
2009-04-03 00:00:00,44390.0
2009-04-06 00:00:00,44167.0
2009-04-07 00:00:00,43824.0
2009-04-08 00:00:00,44181.0
2009-04-09 00:00:00,45538.0
2009-04-13 00:00:00,45991.0
2009-04-14 00:00:00,45418.0
2009-04-15 00:00:00,45272.0
2009-04-16 00:00:00,46024.0
2009-04-17 00:00:00,45778.0
2009-04-20 00:00:00,44433.0
2009-04-22 00:00:00,44888.0
